time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,analytic_error_m
1747.69195779,-2344407.99135,6511843.70591,0,-7140.33829321,-2570.67996563,0,0.000581502318649
1757.24218707,-2412470.06755,6486936.52334,0,-7113.02717825,-2645.31109476,0,0.000896734040867
1766.79241635,-2480267.5892,6461317.97502,0,-7084.93603971,-2719.65213571,0,0.00116609261158
1776.34264562,-2547793.12153,6434990.87026,0,-7056.06795811,-2793.69493616,0,0.00131251286118
1785.8928749,-2615039.25956,6407958.09606,0,-7026.42609917,-2867.43137645,0,0.00127894328357
1795.44310418,-2681998.62901,6380222.61685,0,-6996.01371345,-2940.85337057,0,0.00105230792346
1804.99333346,-2748663.88705,6351787.4742,0,-6964.83413602,-3013.95286696,0,0.00070206424075
1814.54356274,-2815027.72313,6322655.78651,0,-6932.89078602,-3086.72184945,0,0.000426638468261
1824.09379201,-2881082.85979,6292830.74863,0,-6900.1871664,-3159.15233814,0,0.000392556884975
1833.64402129,-2946822.05324,6262315.63098,0,-6866.72686348,-3231.23639018,0,0.000384134000224
1843.19425057,-3012238.09447,6231113.77986,0,-6832.51354658,-3302.96610074,0,0.000383679330592
1852.74447985,-3077323.80985,6199228.61691,0,-6797.55096758,-3374.33360384,0,0.000390914166163
1862.29470912,-3142072.06199,6166663.63869,0,-6761.84296051,-3445.33107324,0,0.000398810238871
1871.8449384,-3206475.75052,6133422.41629,0,-6725.39344116,-3515.95072326,0,0.000397992787471
1881.39516768,-3270527.81283,6099508.59498,0,-6688.20640664,-3586.18480965,0,0.000384955591777
1890.94539696,-3334221.22489,6064925.89378,0,-6650.28593493,-3656.02563047,0,0.000370468966532
1900.49562623,-3397549.00201,6029678.10509,0,-6611.63618443,-3725.46552688,0,0.0003750156226
1910.04585551,-3460504.1996,5993769.09425,0,-6572.26139352,-3794.496884,0,0.000404266974834
1919.59608479,-3523079.91392,5957202.79912,0,-6532.16588008,-3863.11213179,0,0.00043484208372
1929.14631407,-3585269.28286,5919983.22962,0,-6491.35404102,-3931.3037458,0,0.000434798130461
1938.69654334,-3647065.48667,5882114.46732,0,-6449.83035184,-3999.06424805,0,0.000393014463258
1948.24677262,-3708461.7487,5843600.66496,0,-6407.59936605,-4066.38620786,0,0.000358550157749
1957.7970019,-3769451.33615,5804446.04601,0,-6364.66571478,-4133.26224259,0,0.000454491157083
1967.34723118,-3830027.56081,5764654.90419,0,-6321.03410617,-4199.68501854,0,0.000694379351874
1976.89746045,-3890183.77978,5724231.60299,0,-6276.70932494,-4265.64725171,0,0.000978504547524
1986.44768973,-3949913.39623,5683180.57525,0,-6231.69623181,-4331.14170858,0,0.00121565530136
1995.99791901,-4009209.8601,5641506.32259,0,-6185.99976298,-4396.16120695,0,0.00133059936395
2005.54814829,-4068066.66882,5599213.41505,0,-6139.6249296,-4460.6986167,0,0.00127247123202
2015.09837756,-4126477.3681,5556306.49049,0,-6092.57681718,-4524.74686056,0,0.00104021371812
2024.64860684,-4184435.55257,5512790.25422,0,-6044.86058508,-4588.29891494,0,0.000722875785732
2034.19883612,-4241934.86657,5468669.47845,0,-5996.48146588,-4651.34781064,0,0.000522820046838
2043.7490654,-4298969.00475,5423949.00165,0,-5947.44476488,-4713.88663366,0,0.000512378315431
2053.29929467,-4355531.71253,5378633.72773,0,-5897.75585954,-4775.90852588,0,0.00050726822194
2062.84952395,-4411616.78719,5332728.62602,0,-5847.4201988,-4837.40668591,0,0.000509745746651
2072.39975323,-4467218.07837,5286238.73054,0,-5796.44330254,-4898.37436979,0,0.0005180668032
2081.94998251,-4522329.48874,5239169.13941,0,-5744.83076095,-4958.80489172,0,0.00052529507841
2091.50021178,-4576944.97471,5191525.01432,0,-5692.58823394,-5018.69162481,0,0.00052343028308
2101.05044106,-4631058.54705,5143311.57999,0,-5639.72145049,-5078.02800181,0,0.000510813613822
2110.60067034,-4684664.27162,5094534.12356,0,-5586.23620803,-5136.80751581,0,0.000497180087897
2120.15089962,-4737756.26994,5045197.99404,0,-5532.13837183,-5195.02372098,0,0.000497418376331
2129.70112889,-4790328.71991,4995308.6017,0,-5477.43387431,-5252.67023326,0,0.000514123893762
2139.25135817,-4842375.85638,4944871.41752,0,-5422.12871444,-5309.74073106,0,0.000529637725943
2148.80158745,-4893891.97182,4893891.97251,0,-5366.22895704,-5366.22895595,0,0.000522224892988
2158.35181673,-4944871.41691,4842375.85716,0,-5309.74073215,-5422.12871336,0,0.000494119938373
2167.902046,-4995308.6012,4790328.72079,0,-5252.67023434,-5477.43387326,0,0.000500589751272
2177.45227528,-5045197.99365,4737756.27095,0,-5195.02372203,-5532.13837081,0,0.000623211812826
2187.00250456,-5094534.12333,4684664.27277,0,-5136.80751681,-5586.23620704,0,0.000855154462321
2196.55273384,-5143311.57991,4631058.54836,0,-5078.02800277,-5639.72144953,0,0.00111486046016
2206.10296311,-5191525.01436,4576944.97614,0,-5018.69162574,-5692.588233,0,0.00131631941583
2215.65319239,-5239169.13949,4522329.49022,0,-4958.80489265,-5744.83076002,0,0.00138828659806
2225.20342167,-5286238.73054,4467218.07978,0,-4898.37437074,-5796.44330161,0,0.0012903864417
2234.75365095,-5332728.62583,4411616.78842,0,-4837.40668691,-5847.42019787,0,0.00104249863437
2244.30388022,-5378633.72728,4355531.71351,0,-4775.90852694,-5897.75585861,0,0.000764051673508
2253.8541095,-5423949.00105,4298969.00558,0,-4713.88663476,-5947.44476396,0,0.000647777451244
2263.40433878,-5468669.47781,4241934.86738,0,-4651.34781176,-5996.48146498,0,0.000645877731747
2272.95456806,-5512790.25334,4184435.55322,0,-4588.29891605,-6044.86058422,0,0.000644223111648
2282.50479734,-5556306.48931,4126477.36856,0,-4524.74686166,-6092.57681639,0,0.000649410561799
2292.05502661,-5599213.41366,4068066.66915,0,-4460.69861778,-6139.62492885,0,0.000658363682592
2301.60525589,-5641506.32117,4009209.86039,0,-4396.16120804,-6185.99976225,0,0.000664299066933
2311.15548517,-5683180.57391,3949913.39658,0,-4331.14170968,-6231.69623107,0,0.000660902051081
2320.70571445,-5724231.60182,3890183.78023,0,-4265.64725284,-6276.70932417,0,0.000648775621852
2330.25594372,-5764654.9032,3830027.56137,0,-4199.68501972,-6321.03410536,0,0.000637613643153
